SR.NO,Country,Active military,Reserve military,Paramilitary,Total,"Per 1,000 capita(active)","Per 1,000 capita(total)"
110,Netherlands,35400,4500,5900,45800,2.1,2.7
111,New Zealand,9000,2300,0,11300,2,2.5
112,Nicaragua,12000,0,0,12000,2,2
113,Niger,5300,0,5400,10700,0.3,0.5
114,Nigeria,143000,0,80000,223000,0.7,1.1
115,North Korea,1280000,600000,5889000,7769000,50.4,306.1
116,North Macedonia,8000,4850,7600,20450,3.8,9.7
117,Norway,23250,40000,0,63250,4.3,11.8
118,Oman,42600,0,4400,47000,12.2,13.5
119,Pakistan,654000,550000,291000,1495000,3.1,7.2
120,Palestine,0,0,0,0,0,0
121,Panama,0,0,26000,26000,0,6.8
122,Papua New Guinea,3600,0,0,3600,0.5,0.5
123,Paraguay,13950,164500,14800,193250,2,27.5
124,Peru,81000,188000,77000,346000,2.6,11
125,Philippines,143100,131000,62300,336400,1.4,3.2
126,Poland,114050,0,75400,189450,3,4.9
127,Portugal,27250,211700,24700,263650,2.6,25.5
128,Qatar,16500,0,5000,21500,7,9.1
129,Republic of the Congo,10000,0,2000,12000,2,2.4
130,Romania,69300,50000,57000,176300,3.2,8.2
131,Russia,1154000,2000000,554000,3708000,8.1,26.1
132,Rwanda,33000,0,2000,35000,2.7,2.9
133,Saudi Arabia,227000,0,24500,251500,6.9,7.6
134,Senegal,13600,0,5000,18600,0.9,1.2
135,Serbia,28150,50150,3700,82000,4,11.6
136,Seychelles,420,0,0,420,4.4,4.4
137,Sierra Leone,8500,0,0,8500,1.3,1.3
138,Singapore,51000,252500,7400,310900,8.5,51.9
139,Slovakia,15850,0,0,15850,2.9,2.9
140,Slovenia,7250,1500,5950,14700,3.4,7
141,Somalia,19800,0,0,19800,1.8,1.8
142,South Africa,65350,15050,0,80400,1.2,1.5
143,South Korea,599000,3100000,3013500,6712500,11.6,130.5
144,South Sudan,185000,0,0,185000,18.1,18.1
145,Spain,120350,15150,75800,211300,2.5,4.4
146,Sri Lanka,255000,5500,92600,353100,11.3,15.6
147,Sudan,104300,0,105000,209300,2.4,4.9
148,Suriname,1840,0,0,1840,3.1,3.1
149,Sweden,29750,0,21200,50950,3,5.1
150,Switzerland,19550,196450,0,216000,2.4,26
151,Syria,169000,0,100000,269000,8.7,13.8
152,Taiwan (Republic of China),163000,1657000,11800,1831800,6.9,77.8
153,Tajikistan,8800,0,7500,16300,1,1.9
154,Tanzania,27000,80000,1400,108400,0.5,2
155,Thailand,360850,200000,138700,699550,5.3,10.2
156,Togo,8550,0,750,9300,1,1.1
157,Trinidad and Tobago,4050,0,0,4050,3.3,3.3
158,Tunisia,35800,0,12000,47800,3.1,4.2
159,Turkey,425000,200000,156800,781800,5.2,9.6
160,Turkmenistan,36500,0,5000,41500,6.7,7.7
161,Uganda,45000,10000,1400,56400,1.1,1.4
162,Ukraine,209000,900000,102000,1211000,4.8,27.6
163,United Arab Emirates,63000,0,0,63000,6.5,6.5
164,United Kingdom,196453,78600,0,275053,3,4.2
165,United States,1328000,744950,0,2072950,4,6.3
166,Uruguay,21000,0,1400,22400,6.2,6.6
167,Uzbekistan,48000,0,20000,68000,1.6,2.3
168,Venezuela,123000,8000,220000,351000,3.9,11.1
169,Vietnam,482000,5000000,40000,5522000,5,56.9
170,Yemen,40000,0,0,40000,1.4,1.4
171,Zambia,15100,3000,1400,19500,0.9,1.2
172,Zimbabwe,29000,0,21800,50800,2.1,3.6
